inventario_id,producto_id,almacen,stock_actual,stock_minimo,fecha_actualizacion
70,1083,Norte,,25,2026-04-01
71,34,Sur,,6,
72,725,Sur,75.0,72,2026-04-04
73,72,Sur,-10.0,65,
74,1427,Occidente,,32,mal_fecha
75,1441,Norte,-10.0,22,mal_fecha
76,392,Occidente,183.0,64,2026-03-16
77,1234,Sur,-10.0,64,
78,250,Occidente,219.0,62,
79,1236,Centro,,22,
80,1391,Occidente,-10.0,41,
81,781,Bajío,-10.0,23,2025-10-28
82,1431,Centro,129.0,44,2026-01-30
83,1165,Centro,-10.0,60,
84,1161,Bajío,-10.0,75,
85,1070,Occidente,,50,2025-07-08
86,1533,Bajío,387.0,22,mal_fecha
87,726,Centro,,42,
88,400,Centro,-10.0,77,
89,1096,Bajío,299.0,24,2026-02-15
90,1317,Sur,,9,mal_fecha
91,1333,Sur,-10.0,70,
92,853,Centro,419.0,16,
93,464,Bajío,-10.0,14,mal_fecha
94,189,Sur,-10.0,80,2026-02-03
95,1159,Bajío,,58,mal_fecha
96,1001,Centro,,47,
97,737,Centro,171.0,12,
98,1112,Bajío,,7,mal_fecha
99,1450,Norte,,66,
100,209,Centro,-10.0,20,
101,1302,Occidente,-10.0,77,mal_fecha
102,908,Occidente,107.0,73,
103,878,Occidente,-10.0,73,mal_fecha
104,514,Sur,269.0,10,mal_fecha
105,335,Bajío,85.0,6,
106,1581,Bajío,,80,2026-03-04
107,363,Norte,,45,2026-02-10
108,548,Sur,-10.0,31,
109,419,Sur,,8,mal_fecha
110,691,Sur,-10.0,37,
111,957,Sur,,29,mal_fecha
112,410,Sur,135.0,17,
113,523,Bajío,,45,mal_fecha
114,18,Bajío,88.0,25,
115,1140,Centro,162.0,56,
116,912,Bajío,,71,
117,204,Norte,-10.0,55,2025-09-15
118,434,Sur,344.0,53,
119,642,Occidente,461.0,28,
120,1149,Norte,,69,mal_fecha
121,1,Norte,,25,2025-07-09
122,432,Centro,-10.0,47,
123,710,Bajío,,27,mal_fecha
124,577,Norte,466.0,41,2026-05-25
125,1178,Centro,73.0,59,
126,1105,Occidente,,68,
127,1302,Centro,-10.0,37,mal_fecha
128,547,Occidente,22.0,43,mal_fecha
129,617,Bajío,181.0,73,mal_fecha
130,1097,Sur,,60,2025-12-27
131,746,Norte,-10.0,9,
132,182,Centro,-10.0,55,mal_fecha
133,463,Bajío,79.0,35,
134,521,Centro,,67,
135,567,Centro,,16,
136,1210,Norte,,16,2025-07-16
137,1476,Sur,377.0,15,
138,1100,Bajío,,52,
139,1300,Sur,193.0,68,mal_fecha
140,119,Centro,395.0,69,2026-02-05
141,29,Centro,,30,
142,1346,Sur,,60,2026-02-06
143,1244,Centro,,14,mal_fecha
144,611,Bajío,-10.0,28,mal_fecha
145,1306,Centro,-10.0,37,2026-02-23
146,1243,Occidente,-10.0,53,
147,1411,Occidente,,67,2025-12-13
148,1566,Centro,-10.0,53,
149,73,Occidente,264.0,52,
150,1526,Centro,-10.0,65,2026-02-20
151,154,Centro,,21,
152,1479,Occidente,,54,2025-08-05
153,511,Sur,-10.0,69,
154,673,Norte,308.0,28,mal_fecha
155,1433,Centro,,57,
156,1004,Centro,-10.0,30,2026-04-03
157,477,Sur,-10.0,48,
158,722,Occidente,125.0,48,
159,715,Norte,,78,
160,1361,Norte,251.0,62,
161,173,Bajío,317.0,42,
162,187,Bajío,309.0,27,mal_fecha
163,7,Occidente,9.0,25,mal_fecha
164,1012,Centro,-10.0,41,mal_fecha
165,539,Centro,129.0,19,2026-06-09
166,1422,Sur,-10.0,32,
167,1363,Sur,,19,
168,1308,Sur,-10.0,31,
169,756,Bajío,-10.0,43,
170,66,Bajío,-10.0,13,2025-12-24
171,1359,Bajío,-10.0,41,2025-11-10
172,497,Bajío,,7,mal_fecha
173,1250,Bajío,-10.0,72,
174,113,Bajío,,74,2025-11-16
175,127,Bajío,406.0,34,mal_fecha
176,291,Centro,266.0,78,
177,1503,Centro,-10.0,20,2026-01-20
178,80,Occidente,,16,mal_fecha
179,358,Norte,-10.0,78,
180,26,Bajío,343.0,20,
181,1254,Norte,,33,2026-02-23
182,1234,Sur,-10.0,60,
183,143,Sur,,20,2026-06-12
184,1135,Sur,261.0,7,mal_fecha
185,658,Occidente,,69,2026-04-25
186,1500,Centro,,66,
187,1056,Occidente,438.0,24,
188,914,Norte,,70,
189,366,Centro,47.0,21,
190,1386,Sur,18.0,48,2026-01-07
191,234,Norte,187.0,46,
192,1011,Occidente,320.0,71,mal_fecha
193,106,Sur,395.0,23,
194,335,Occidente,,7,
195,16,Sur,-10.0,6,
196,383,Norte,,7,
197,277,Sur,466.0,46,mal_fecha
198,458,Centro,,55,
199,1062,Sur,-10.0,50,
200,44,Occidente,-10.0,55,
201,927,Norte,-10.0,56,mal_fecha
202,507,Sur,486.0,16,
203,802,Occidente,138.0,27,mal_fecha
204,1333,Occidente,356.0,24,
205,354,Occidente,,55,mal_fecha
206,969,Norte,127.0,32,
207,667,Centro,-10.0,56,
208,941,Sur,230.0,49,mal_fecha
209,821,Centro,-10.0,18,
210,147,Norte,498.0,35,
211,1276,Bajío,,14,
212,1213,Sur,-10.0,59,2026-04-05
213,753,Centro,,17,2026-06-03
214,763,Centro,442.0,40,
215,1582,Bajío,-10.0,77,
216,335,Centro,-10.0,20,
217,128,Bajío,,48,2025-08-26
218,913,Occidente,-10.0,29,
219,1128,Sur,151.0,75,2025-07-06
220,571,Centro,154.0,70,2026-04-07
221,1546,Bajío,-10.0,69,
222,252,Bajío,,76,
223,1108,Bajío,,30,
224,1292,Occidente,-10.0,58,mal_fecha
225,958,Bajío,258.0,48,
226,541,Sur,-10.0,79,2026-05-20
227,1449,Centro,172.0,66,mal_fecha
228,745,Sur,-10.0,69,2025-09-11
229,1388,Occidente,,19,
230,1230,Centro,-10.0,27,
231,398,Norte,,16,mal_fecha
232,1567,Centro,,75,
233,270,Norte,-10.0,13,2026-03-01
234,415,Sur,230.0,25,2026-06-07
235,780,Sur,-10.0,67,
236,504,Centro,,31,
237,1497,Norte,-10.0,43,
238,529,Centro,326.0,50,mal_fecha
239,1127,Bajío,,40,
240,33,Bajío,-10.0,61,
241,48,Norte,302.0,39,
242,407,Norte,418.0,45,mal_fecha
243,355,Bajío,109.0,49,
244,654,Norte,,59,2025-07-22
245,1209,Bajío,,54,
246,1071,Norte,-10.0,60,
247,695,Occidente,,21,
248,144,Norte,452.0,9,
249,617,Centro,-10.0,29,
250,909,Norte,-10.0,74,
251,1333,Centro,448.0,15,mal_fecha
252,192,Sur,276.0,49,
253,1358,Sur,197.0,35,mal_fecha
254,912,Norte,34.0,70,
255,1574,Norte,,17,
256,156,Norte,,52,mal_fecha
257,1119,Occidente,,63,
258,1396,Bajío,,63,2025-09-11
259,283,Norte,-10.0,36,2025-10-20
260,693,Bajío,75.0,21,2025-10-27
261,429,Bajío,-10.0,15,2025-11-09
262,1234,Sur,72.0,12,
263,1344,Occidente,,75,
264,1591,Occidente,,44,
265,1340,Centro,,67,
266,105,Centro,,70,2025-08-26
267,76,Centro,-10.0,50,
268,500,Occidente,,60,mal_fecha
269,1302,Occidente,-10.0,27,
270,1485,Occidente,,39,2025-09-28
271,1290,Bajío,-10.0,71,
272,1344,Bajío,-10.0,38,
273,587,Norte,402.0,43,
274,1361,Centro,-10.0,21,mal_fecha
275,190,Sur,,65,2026-04-03
276,808,Sur,,68,
277,1335,Sur,,52,2025-08-29
278,537,Centro,126.0,43,mal_fecha
279,657,Sur,-10.0,33,
280,1404,Occidente,320.0,56,mal_fecha
281,685,Bajío,,65,
282,751,Centro,-10.0,53,mal_fecha
283,134,Norte,419.0,71,2026-04-25
284,390,Norte,358.0,18,mal_fecha
285,292,Sur,273.0,60,
286,1375,Norte,252.0,13,
287,179,Sur,-10.0,14,mal_fecha
288,723,Sur,-10.0,35,2025-11-23
289,771,Bajío,433.0,33,
290,1431,Sur,51.0,19,2026-04-20
291,1232,Bajío,,13,mal_fecha
292,903,Centro,,57,
293,724,Norte,,15,
294,1003,Occidente,,30,2026-05-28
295,1399,Centro,285.0,37,
296,485,Sur,-10.0,28,2025-12-14
297,399,Bajío,423.0,52,2026-04-23
298,276,Norte,26.0,8,mal_fecha
299,862,Bajío,60.0,23,
300,357,Centro,,49,2026-06-20
301,1120,Centro,-10.0,14,
302,579,Centro,,67,mal_fecha
303,524,Sur,386.0,80,mal_fecha
304,151,Centro,441.0,50,2025-07-18
305,386,Occidente,,44,mal_fecha
306,1534,Centro,230.0,9,
307,1003,Centro,,77,mal_fecha
308,847,Norte,,5,
309,824,Centro,-10.0,75,2026-03-26
310,420,Centro,-10.0,19,mal_fecha
311,1149,Occidente,,5,
312,501,Bajío,-10.0,56,
313,191,Bajío,,66,
314,397,Centro,,14,
315,1242,Centro,,54,
316,252,Sur,-10.0,14,
317,201,Norte,,34,mal_fecha
318,921,Norte,,38,
319,425,Occidente,174.0,58,2025-10-30
320,787,Centro,,61,
321,497,Norte,,11,mal_fecha
322,986,Centro,,76,
323,1179,Occidente,-10.0,17,
324,1228,Norte,-10.0,6,2025-10-22
325,1332,Bajío,-10.0,12,2025-07-13
326,164,Centro,327.0,77,mal_fecha
327,1013,Bajío,,63,
328,132,Occidente,175.0,74,
329,1085,Occidente,318.0,8,
330,852,Sur,-10.0,54,
331,316,Occidente,-10.0,19,2025-12-23
332,461,Occidente,-10.0,75,
333,635,Sur,202.0,69,
334,1017,Norte,458.0,51,2026-05-21
335,749,Centro,,32,
336,447,Norte,-10.0,63,mal_fecha
337,940,Centro,188.0,59,
338,338,Occidente,-10.0,8,2026-04-17
339,1053,Occidente,475.0,75,
340,551,Norte,-10.0,66,
341,1442,Norte,487.0,18,
342,236,Sur,1.0,51,
343,94,Sur,,19,mal_fecha
344,1329,Occidente,,11,mal_fecha
345,1390,Bajío,355.0,37,
346,941,Centro,,5,
347,1508,Centro,-10.0,72,
348,446,Centro,315.0,36,
349,556,Centro,-10.0,16,
350,675,Norte,-10.0,69,2026-01-03
351,1278,Norte,119.0,11,
352,964,Norte,,72,
353,393,Norte,-10.0,17,2025-11-21
354,87,Bajío,,16,
355,342,Centro,-10.0,9,mal_fecha
356,48,Sur,-10.0,61,
357,1297,Sur,147.0,62,2025-12-06
358,255,Norte,90.0,48,
359,1033,Sur,175.0,24,
360,1217,Bajío,-10.0,73,
361,1592,Centro,291.0,33,2025-10-17
362,125,Bajío,-10.0,8,2026-03-23
363,4,Sur,-10.0,13,2026-03-17
364,151,Bajío,,23,
365,611,Centro,-10.0,17,
366,1405,Norte,56.0,10,2025-09-11
367,517,Sur,,13,mal_fecha
368,821,Bajío,386.0,51,
369,1571,Norte,43.0,66,
370,344,Centro,-10.0,47,mal_fecha
371,54,Norte,32.0,17,
372,1084,Sur,284.0,54,
373,1138,Occidente,248.0,74,mal_fecha
374,60,Occidente,-10.0,49,2026-01-31
375,957,Bajío,,45,2025-12-31
376,1207,Centro,,61,mal_fecha
377,679,Centro,444.0,33,2025-07-30
378,261,Sur,210.0,50,
379,638,Occidente,307.0,41,
380,1403,Occidente,32.0,45,mal_fecha
381,402,Norte,160.0,23,2026-02-04
382,976,Sur,-10.0,59,2026-06-04
383,631,Occidente,148.0,5,
384,189,Norte,-10.0,44,mal_fecha
385,782,Norte,447.0,72,2026-06-17
386,981,Norte,423.0,67,
387,420,Sur,,20,
388,850,Centro,,71,mal_fecha
389,810,Occidente,-10.0,52,
390,548,Norte,-10.0,21,
391,1225,Centro,-10.0,28,2026-07-02
392,1316,Norte,-10.0,71,mal_fecha
393,1301,Occidente,-10.0,63,2026-02-26
394,926,Occidente,,51,
395,1584,Centro,,73,2025-12-02
396,1506,Norte,-10.0,19,
397,326,Occidente,437.0,80,
398,1526,Sur,,32,
399,806,Bajío,-10.0,58,2026-02-09
400,1063,Sur,,5,
401,607,Centro,438.0,70,mal_fecha
402,343,Bajío,-10.0,57,mal_fecha
403,1055,Bajío,-10.0,48,
404,1315,Bajío,-10.0,50,mal_fecha
405,1037,Sur,,40,mal_fecha
406,164,Sur,,53,2026-01-05
407,1284,Bajío,,36,
408,1487,Centro,,38,2026-07-06
409,1406,Norte,,64,
410,294,Bajío,,71,mal_fecha
411,182,Norte,-10.0,42,
412,650,Norte,94.0,27,
413,1005,Sur,-10.0,73,
414,546,Centro,,79,2026-01-08
415,1520,Centro,202.0,56,
416,499,Bajío,-10.0,27,
417,1220,Centro,326.0,23,
418,614,Centro,135.0,45,
419,133,Occidente,-10.0,65,
420,1550,Norte,8.0,59,2025-07-09
421,660,Occidente,-10.0,33,
422,946,Centro,473.0,73,mal_fecha
423,1545,Bajío,414.0,29,2026-01-14
424,1478,Norte,-10.0,53,mal_fecha
425,306,Norte,180.0,71,2025-10-12
426,344,Centro,,13,
427,165,Occidente,,26,
428,791,Sur,-10.0,23,mal_fecha
429,141,Sur,-10.0,10,
430,868,Sur,223.0,22,
431,207,Norte,,48,mal_fecha
432,1275,Bajío,-10.0,39,
433,614,Occidente,,45,mal_fecha
434,974,Bajío,264.0,61,
435,1018,Centro,-10.0,22,mal_fecha
436,702,Occidente,-10.0,65,
437,1342,Norte,,24,mal_fecha
438,230,Centro,-10.0,41,
439,239,Centro,,7,
440,419,Bajío,-10.0,45,
441,238,Norte,,20,
442,422,Centro,319.0,38,
443,521,Centro,-10.0,39,
444,1390,Sur,-10.0,43,
445,130,Centro,,62,mal_fecha
446,340,Centro,82.0,68,
447,645,Sur,-10.0,52,
448,1470,Occidente,,25,mal_fecha
449,1333,Norte,,28,
450,1424,Norte,104.0,32,2025-08-10
451,1433,Occidente,,21,2026-02-24
452,740,Bajío,,62,mal_fecha
453,1055,Sur,,47,2025-08-03
454,677,Norte,-10.0,44,
455,836,Bajío,-10.0,39,
456,775,Bajío,-10.0,14,2025-10-18
457,810,Norte,,28,
458,1510,Centro,-10.0,67,
459,73,Centro,-10.0,36,
460,730,Bajío,,53,
461,1059,Occidente,,79,2025-08-31
462,565,Centro,-10.0,62,2025-08-22
463,927,Bajío,-10.0,23,
464,1071,Bajío,-10.0,66,mal_fecha
465,1149,Centro,-10.0,50,mal_fecha
466,1253,Norte,-10.0,77,mal_fecha
467,220,Occidente,192.0,80,2026-04-21
468,950,Sur,-10.0,41,mal_fecha
469,584,Centro,,22,
470,521,Centro,,41,
471,1188,Bajío,143.0,60,
472,441,Norte,446.0,25,
473,1410,Occidente,-10.0,37,
474,574,Centro,,38,
475,711,Occidente,-10.0,71,mal_fecha
476,1185,Bajío,-10.0,23,
477,654,Norte,-10.0,72,
478,1127,Norte,,49,
479,1575,Occidente,-10.0,64,
480,515,Norte,-10.0,14,2026-06-26
481,1140,Norte,-10.0,47,2026-07-01
482,19,Bajío,46.0,7,mal_fecha
483,1023,Norte,-10.0,26,mal_fecha
484,1553,Centro,-10.0,11,
485,93,Centro,-10.0,50,2025-11-26
486,846,Bajío,,6,
487,1145,Norte,101.0,31,mal_fecha
488,718,Norte,-10.0,56,mal_fecha
489,14,Norte,-10.0,14,mal_fecha
490,1597,Centro,,5,mal_fecha
491,701,Bajío,-10.0,46,
492,258,Norte,404.0,56,mal_fecha
493,126,Occidente,-10.0,54,mal_fecha
494,1085,Centro,115.0,24,2025-07-10
495,815,Bajío,-10.0,18,
496,974,Occidente,-10.0,14,2026-02-17
497,666,Bajío,364.0,34,2026-02-14
498,251,Bajío,-10.0,80,mal_fecha
499,761,Sur,-10.0,13,
500,177,Bajío,,26,2025-07-14
501,446,Occidente,326.0,19,
502,1533,Occidente,-10.0,63,2026-06-06
503,1598,Occidente,-10.0,22,mal_fecha
504,276,Norte,,21,
505,877,Centro,,34,
506,1182,Sur,-10.0,70,
507,961,Bajío,,69,
508,740,Norte,-10.0,65,
509,201,Bajío,-10.0,8,mal_fecha
510,268,Norte,,69,
511,1497,Norte,-10.0,62,mal_fecha
512,611,Occidente,,72,
513,1428,Occidente,487.0,50,
514,14,Sur,-10.0,21,
515,1279,Centro,,32,
516,1232,Bajío,,17,mal_fecha
517,71,Bajío,420.0,38,
518,966,Norte,-10.0,55,2025-11-24
519,415,Centro,,55,
520,1412,Sur,410.0,54,2025-10-17
521,217,Occidente,412.0,75,2025-11-28
522,983,Centro,326.0,62,2025-10-12
523,1245,Norte,,15,mal_fecha
524,699,Centro,251.0,5,
525,602,Occidente,,26,
526,1578,Bajío,-10.0,38,
527,117,Occidente,,11,mal_fecha
528,1431,Centro,-10.0,72,2026-03-12
529,324,Sur,-10.0,19,
530,1326,Bajío,119.0,72,
531,866,Occidente,,63,mal_fecha
532,666,Centro,,31,2025-11-01
533,709,Occidente,113.0,53,mal_fecha
534,534,Bajío,,11,mal_fecha
535,726,Sur,270.0,24,
536,244,Sur,-10.0,61,mal_fecha
537,794,Centro,-10.0,73,mal_fecha
538,1362,Bajío,-10.0,22,
539,797,Bajío,-10.0,17,
540,213,Norte,,59,2026-05-21
541,260,Centro,379.0,78,2025-08-08
542,375,Bajío,-10.0,70,
543,1243,Centro,-10.0,26,
544,549,Bajío,129.0,10,2025-07-21
545,1544,Norte,,14,2026-02-24
546,1255,Occidente,,15,2026-03-28
547,1024,Norte,,37,mal_fecha
548,724,Centro,15.0,56,
549,1234,Bajío,-10.0,20,mal_fecha
550,369,Bajío,169.0,51,2026-02-23
551,574,Bajío,,10,2025-09-10
552,1499,Bajío,-10.0,8,2025-09-11
553,232,Occidente,221.0,33,2025-09-25
554,1254,Occidente,281.0,52,
555,210,Occidente,358.0,60,
556,1091,Occidente,,61,
557,1505,Occidente,,24,
558,1145,Sur,261.0,49,mal_fecha
559,804,Norte,-10.0,21,
560,1510,Centro,238.0,34,2026-06-06
561,1204,Norte,-10.0,24,
562,1197,Centro,366.0,57,2025-12-04
563,1187,Occidente,317.0,68,mal_fecha
564,951,Occidente,448.0,71,
565,1446,Occidente,384.0,67,
566,785,Centro,-10.0,15,
567,1323,Sur,130.0,64,mal_fecha
568,306,Centro,247.0,61,
569,1247,Bajío,,26,mal_fecha
570,89,Bajío,51.0,56,mal_fecha
571,1175,Centro,96.0,40,
572,1529,Sur,26.0,18,2025-12-21
573,168,Sur,215.0,69,
574,1192,Sur,1.0,7,2025-10-25
575,1240,Norte,-10.0,59,mal_fecha
576,1162,Occidente,,20,
577,791,Norte,-10.0,32,
578,995,Bajío,,73,mal_fecha
579,979,Centro,-10.0,10,2025-12-01
580,1529,Centro,-10.0,80,2025-09-06
581,235,Norte,-10.0,44,
582,1118,Occidente,7.0,69,
583,43,Bajío,-10.0,65,
584,26,Bajío,-10.0,26,2026-02-22
585,1163,Bajío,,36,2026-05-04
586,141,Centro,,19,
587,666,Bajío,-10.0,41,
588,1156,Norte,-10.0,27,
589,1169,Occidente,395.0,78,mal_fecha
590,164,Norte,195.0,36,
591,1548,Norte,196.0,43,mal_fecha
592,147,Norte,104.0,5,mal_fecha
593,953,Bajío,,41,
594,945,Norte,,10,
595,1185,Sur,-10.0,74,
596,1507,Centro,-10.0,50,
597,675,Norte,-10.0,71,
598,537,Centro,-10.0,34,
599,328,Bajío,,56,
600,1206,Bajío,-10.0,44,mal_fecha
601,530,Sur,-10.0,55,
602,994,Norte,,53,2025-07-30
603,180,Sur,,6,
604,1259,Sur,,68,
605,1399,Norte,188.0,32,
606,88,Norte,42.0,76,
607,1188,Bajío,,20,
608,242,Norte,42.0,37,
609,989,Bajío,-10.0,77,2025-07-23
610,968,Occidente,-10.0,41,
611,1365,Occidente,,64,
612,1562,Bajío,-10.0,75,
613,275,Occidente,-10.0,46,
614,408,Bajío,366.0,60,
615,181,Occidente,,19,
616,456,Centro,,29,2026-04-12
617,1339,Sur,,22,2025-07-20
618,1591,Norte,142.0,76,2026-01-11
619,252,Bajío,-10.0,7,mal_fecha
620,831,Occidente,-10.0,46,mal_fecha
621,1089,Occidente,330.0,29,
622,759,Bajío,,34,2025-09-06
623,44,Norte,194.0,77,
624,561,Bajío,-10.0,79,
625,1368,Norte,146.0,25,
626,336,Occidente,,67,mal_fecha
627,989,Occidente,-10.0,34,mal_fecha
628,1330,Norte,441.0,72,mal_fecha
629,449,Occidente,,62,2026-03-15
630,806,Norte,397.0,54,mal_fecha
631,392,Bajío,-10.0,58,
632,1285,Occidente,,40,
633,1055,Centro,-10.0,76,
634,1438,Bajío,,42,mal_fecha
635,633,Bajío,395.0,48,2026-03-19
636,846,Sur,400.0,53,mal_fecha
637,1486,Centro,-10.0,47,2026-03-28
638,468,Centro,-10.0,45,mal_fecha
639,729,Sur,418.0,41,
640,1342,Bajío,-10.0,62,
641,88,Sur,325.0,11,
642,1076,Occidente,,72,
643,1005,Sur,416.0,55,mal_fecha
644,1542,Occidente,450.0,65,mal_fecha
645,1270,Centro,236.0,38,mal_fecha
646,1580,Sur,-10.0,65,2026-01-21
647,112,Occidente,347.0,11,mal_fecha
648,209,Norte,,37,
649,271,Centro,286.0,71,mal_fecha
650,1367,Bajío,-10.0,42,
651,870,Sur,-10.0,63,
652,425,Norte,,36,2026-05-12
653,1047,Centro,,69,
654,1158,Centro,-10.0,70,
655,1447,Occidente,-10.0,21,
656,1155,Norte,,39,mal_fecha
657,42,Occidente,,19,
658,1115,Sur,314.0,55,
659,20,Bajío,,44,
660,742,Occidente,-10.0,19,mal_fecha
661,337,Centro,,43,mal_fecha
662,308,Bajío,-10.0,69,mal_fecha
663,49,Occidente,-10.0,79,mal_fecha
664,398,Occidente,-10.0,29,2026-02-26
665,652,Bajío,-10.0,10,
666,1307,Occidente,-10.0,18,2025-08-03
667,1438,Sur,,59,mal_fecha
668,743,Norte,452.0,63,2025-12-28
669,1467,Centro,-10.0,72,2025-11-14
670,176,Sur,,39,mal_fecha
671,594,Bajío,255.0,17,
672,457,Occidente,,30,2025-09-08
673,701,Bajío,-10.0,80,
674,117,Sur,421.0,29,
675,379,Norte,,8,2025-12-20
676,938,Norte,-10.0,66,2026-02-04
677,110,Norte,,60,2026-02-08
678,1344,Sur,334.0,36,
679,1316,Norte,432.0,31,
680,514,Centro,369.0,18,2025-10-13
681,87,Bajío,-10.0,50,
682,1275,Norte,-10.0,31,
683,206,Centro,-10.0,27,mal_fecha
684,380,Sur,231.0,6,mal_fecha
685,413,Norte,-10.0,79,mal_fecha
686,1007,Occidente,-10.0,68,
687,109,Centro,13.0,30,
688,874,Centro,,19,2026-05-03
689,569,Bajío,-10.0,35,
690,1528,Occidente,490.0,16,
691,915,Sur,49.0,9,
692,1207,Occidente,-10.0,58,2025-10-12
693,1366,Sur,,26,mal_fecha
694,925,Centro,-10.0,79,
695,754,Sur,-10.0,38,
696,1396,Occidente,-10.0,41,
697,102,Centro,-10.0,37,2025-08-31
698,871,Occidente,,26,
699,95,Occidente,445.0,65,2026-06-26
700,167,Occidente,195.0,28,mal_fecha
701,936,Occidente,,37,
702,1150,Sur,4.0,72,2026-01-12
703,236,Norte,,60,mal_fecha
704,1178,Norte,,58,mal_fecha
705,1233,Bajío,,79,
706,592,Bajío,-10.0,15,2026-07-06
707,248,Norte,,66,mal_fecha
708,158,Centro,182.0,12,
709,1392,Norte,,79,
710,980,Bajío,451.0,64,2025-12-12
711,402,Centro,399.0,68,mal_fecha
712,328,Centro,-10.0,58,
713,1160,Norte,,69,
714,911,Sur,-10.0,66,mal_fecha
715,903,Sur,,75,2025-11-14
716,1242,Bajío,2.0,80,mal_fecha
717,747,Occidente,420.0,65,mal_fecha
718,302,Centro,-10.0,49,mal_fecha
719,855,Occidente,-10.0,20,2026-02-24
720,179,Norte,172.0,77,2025-10-15
721,399,Norte,-10.0,75,mal_fecha
722,463,Bajío,,8,
723,1128,Bajío,251.0,13,mal_fecha
724,1573,Norte,,6,
725,1275,Centro,377.0,61,2025-10-09
726,547,Norte,-10.0,19,mal_fecha
727,461,Centro,381.0,51,mal_fecha
728,958,Occidente,-10.0,80,
729,494,Norte,192.0,24,mal_fecha
730,1165,Norte,,21,mal_fecha
731,1435,Sur,-10.0,41,
732,876,Bajío,-10.0,57,
733,272,Occidente,,51,
734,170,Occidente,385.0,38,
735,966,Bajío,415.0,9,2026-05-18
736,714,Sur,-10.0,64,
737,464,Bajío,87.0,42,
738,1528,Sur,21.0,70,
739,1191,Sur,408.0,74,
740,484,Bajío,,47,
741,960,Sur,,50,
742,898,Sur,423.0,8,
743,259,Centro,-10.0,59,
744,427,Norte,,31,2026-06-30
745,515,Norte,-10.0,32,2025-08-23
746,110,Centro,,30,
747,1525,Bajío,,44,
748,665,Bajío,,17,mal_fecha
749,347,Norte,-10.0,26,2025-10-17
750,473,Bajío,,14,
751,1410,Bajío,382.0,73,mal_fecha
752,294,Bajío,-10.0,18,
753,363,Centro,497.0,80,
754,268,Sur,298.0,79,mal_fecha
755,888,Norte,-10.0,45,
756,420,Occidente,281.0,11,mal_fecha
757,1275,Occidente,-10.0,39,mal_fecha
758,1188,Centro,-10.0,55,
759,1308,Norte,,48,
760,36,Sur,,10,
761,1136,Norte,-10.0,12,mal_fecha
762,1052,Norte,224.0,32,
763,889,Centro,-10.0,72,
764,499,Centro,,55,mal_fecha
765,354,Bajío,221.0,78,2025-10-08
766,1306,Occidente,413.0,71,
767,648,Occidente,-10.0,78,
768,962,Sur,122.0,42,
769,785,Sur,-10.0,64,mal_fecha
770,217,Norte,331.0,68,
771,1533,Occidente,-10.0,69,2026-01-11
